Field,Career,Skills,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Psychology,Teacher,"Communication, Team Leadership, Research",4.566338664638026,1,0,4,0,0,0,4,0,4,1,4,0,2,0
Art,Doctor,"Team Leadership, Creativity, Problem Solving",3.19249995864387,5,0,2,0,6,1,2,3,4,0,2,3,3,1
Engineering,Paralegal,"Research, Team Leadership, Critical Thinking",2.9207042900764284,1,2,4,0,4,1,1,3,4,1,2,3,0,1
Music,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",3.7829212138514596,6,1,3,0,8,1,2,1,2,4,4,1,2,0
Law,Psychologist,"Critical Thinking, Data Analysis, Communication",4.581031654142441,9,0,0,0,9,0,0,1,2,4,3,3,0,0
Law,Data Scientist,"Problem Solving, Critical Thinking, SQL",3.4520449379239837,5,2,3,0,3,0,3,2,0,3,0,1,0,1
Physics,Software Developer,"Research, SQL, Python",3.038082477030586,7,1,3,0,5,1,1,3,4,1,0,4,4,1
Marketing,Graphic Designer,"Problem Solving, Time Management, Python",3.3871950610516777,3,0,2,0,1,0,3,3,2,0,2,4,1,0
Marketing,Urban Planner,"GIS, Urban Design, Zoning Laws",4.033337379126986,2,0,4,1,5,0,1,2,1,2,3,3,3,1
Architecture,Investment Banker,"Python, Team Leadership, Data Analysis",2.790305704303844,3,0,3,1,3,1,3,2,3,2,2,2,2,1
Education,Curriculum Developer,"Research, Python, Time Management",3.0508604172686944,3,2,1,0,7,0,2,4,0,4,2,0,3,0
Medicine,Microbiologist,"Communication, Problem Solving, Critical Thinking",4.690325622614975,6,2,1,0,5,0,4,2,1,4,2,0,0,1
Chemistry,Surgeon,"Team Leadership, Data Analysis, SQL",3.1417042275029963,8,2,3,0,0,0,3,1,3,3,0,3,4,0
Music,Interior Designer,"Python, Communication, Data Analysis",4.179276864405921,7,1,3,1,8,0,1,3,2,2,4,3,1,0
Chemistry,Education Administrator,"Curriculum Design, Policy Management, Staff Supervision",4.212333987547685,0,1,4,1,9,1,4,1,3,3,0,0,3,1
Computer Science,Data Scientist,"Problem Solving, Critical Thinking, Time Management",3.621420878875026,0,0,0,1,5,0,2,1,4,3,0,2,4,0
Business,Mechanical Engineer,"SQL, Team Leadership, Communication",2.7599211820518033,1,1,2,0,4,0,0,0,0,3,2,4,4,1
Physics,Urban Planner,"GIS, Urban Design, Zoning Laws",3.7470800522367598,7,2,2,1,2,0,3,1,1,1,3,1,4,1
Education,Biochemist,"Data Analysis, SQL, Problem Solving",3.500019315410001,4,2,4,1,8,1,2,0,1,4,2,0,2,0
Engineering,Nuclear Physicist,"Critical Thinking, Research, Communication",2.929644640829822,0,0,2,1,3,1,2,1,4,1,0,3,1,0
Medicine,Market Research Analyst,"SQL, Time Management, Communication",2.8670739690819045,6,2,2,1,6,0,1,4,2,1,4,2,3,0
Biology,Aerospace Engineer,"Communication, Time Management, Problem Solving",3.8951305108248526,9,0,3,1,8,1,2,3,1,1,2,0,4,1
Chemistry,Microbiologist,"Research, Creativity, Critical Thinking",3.8695643464862863,6,1,4,1,8,0,3,4,4,2,3,1,3,0
Finance,Game Developer,"SQL, Problem Solving, Team Leadership",3.752472237757201,1,2,1,1,0,1,3,0,3,0,4,2,0,1
Law,Conductor,"Python, Data Analysis, Communication",3.5092061094428795,6,1,2,1,6,1,1,1,3,0,1,4,4,1
Art,Game Developer,"SQL, Communication, Research",4.543993395432022,3,0,0,1,5,0,1,0,0,2,0,2,1,0
Medicine,Animator,"Team Leadership, Critical Thinking, SQL",4.868112458444806,4,0,0,1,1,1,0,0,0,3,2,1,1,1
Law,Sound Engineer,"Research, Communication, Critical Thinking",3.5918948428140984,4,2,4,1,0,1,3,3,2,1,4,2,0,1
Psychology,Financial Advisor,"Critical Thinking, Communication, Team Leadership",3.561989740642229,5,1,1,1,1,1,0,0,2,3,1,0,3,0
Education,Curriculum Developer,"Research, Team Leadership, Critical Thinking",3.4823549430047414,7,1,4,1,7,1,0,0,2,1,2,4,3,1
Law,Landscape Architect,"Critical Thinking, Communication, Creativity",3.062612942473321,0,0,3,0,6,1,0,2,0,0,1,1,3,1
Marketing,Manager,"Leadership, Project Management, Strategic Planning",4.385635955324699,8,0,3,1,2,0,2,4,2,1,2,4,3,0
Marketing,Accountant,"Time Management, Creativity, Critical Thinking",2.572426267357782,0,0,4,1,4,0,2,3,0,0,2,0,0,0
Physics,Ecologist,"Python, Critical Thinking, Data Analysis",3.0655981145157054,7,0,3,0,7,0,1,3,4,1,3,1,2,0
Chemistry,Legal Analyst,"Communication, Data Analysis, Time Management",3.926535042580322,0,2,1,1,5,1,2,3,4,3,0,0,1,0
Music,Organic Chemist,"Data Analysis, Team Leadership, Time Management",3.048544481664348,9,0,1,0,1,0,0,4,4,0,0,4,0,0
Finance,Web Developer,"Critical Thinking, Data Analysis, Python",3.3873579653113475,0,1,3,1,4,1,2,0,3,3,2,1,1,0
Marketing,Industrial-Organizational Psychologist,"Creativity, Communication, Team Leadership",4.647235248464243,3,2,3,0,3,0,2,2,3,4,1,4,0,0
Chemistry,Interior Designer,"SQL, Research, Communication",2.520192130328506,1,1,0,0,7,0,3,1,1,1,3,4,4,0
Physics,Aerospace Engineer,"Time Management, Creativity, Research",4.675831753841454,2,2,4,1,3,0,4,0,0,3,1,4,0,1
Art,Conductor,"Research, Problem Solving, Time Management",3.4753446162259887,1,0,0,1,2,0,2,4,1,2,3,0,0,0
Chemistry,Web Developer,"Critical Thinking, Research, Creativity",4.215755640189045,1,0,2,0,7,0,2,3,4,3,4,2,3,1
Medicine,AI Researcher,"SQL, Team Leadership, Python",3.7484736900965805,9,2,0,0,5,1,1,0,0,2,0,4,4,0
Art,Aerospace Engineer,"SQL, Creativity, Communication",4.647663156368122,6,0,0,0,8,0,1,0,2,2,4,0,1,1
Education,Psychologist,"Python, SQL, Problem Solving",3.889936345687226,6,1,0,0,7,0,3,4,0,4,2,0,3,1
Chemistry,Marketing Specialist,"Communication, Problem Solving, Creativity",2.8090174336257374,9,0,2,0,4,0,1,2,3,4,1,0,1,0
Psychology,Risk Analyst,"Python, Team Leadership, Critical Thinking",3.9693763524770134,0,0,3,1,2,0,0,0,3,2,0,1,3,0
Law,Music Therapist,"Time Management, Critical Thinking, Python",2.8915102368398724,3,0,2,1,6,0,3,0,1,1,0,4,3,1
Law,Interior Designer,"Critical Thinking, SQL, Creativity",3.138968178304591,0,1,1,0,4,0,1,1,2,2,0,0,3,0
Finance,Judge,"Python, Creativity, Time Management",2.5381646499431385,9,1,1,0,3,0,3,3,2,1,3,1,2,1
Medicine,Art Therapist,"Research, Python, SQL",3.047476225015817,6,1,4,0,3,1,0,3,2,4,3,3,0,0
Engineering,Teacher,"Problem Solving, Communication, Research",3.2267695431117165,5,0,1,1,1,1,0,1,1,0,2,2,1,0
Medicine,Entrepreneur,"Research, Team Leadership, Problem Solving",4.4096604694609045,2,1,4,0,9,0,3,0,2,3,1,3,4,1
Computer Science,Art Therapist,"Research, Critical Thinking, Time Management",3.528697356766357,2,0,0,0,0,0,4,2,2,4,4,3,3,0
Marketing,Physicist,"Data Analysis, Critical Thinking, Team Leadership",4.407120397209464,9,1,2,1,5,1,1,3,3,4,2,2,0,1
Law,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",4.87526061928022,5,1,0,0,2,0,3,2,0,1,4,1,3,1
Architecture,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",4.803756541848001,3,0,4,0,0,0,1,2,1,1,2,3,3,0
Architecture,Lawyer,"Creativity, Communication, Python",3.977176081351389,4,2,2,0,1,0,3,0,2,0,0,0,3,0
Engineering,Inorganic Chemist,"Creativity, Team Leadership, Python",4.054943922412952,0,0,3,0,3,0,0,3,4,3,0,3,3,1
Finance,Brand Manager,"Communication, Critical Thinking, Python",3.086418262922494,8,0,1,0,4,0,1,3,4,0,3,2,1,1
Business,Nuclear Physicist,"Critical Thinking, Research, Problem Solving",2.766411210226466,3,1,3,1,7,0,0,4,2,2,0,2,1,0
Marketing,Artist,"Team Leadership, Critical Thinking, Communication",2.767842218069962,2,2,0,1,6,1,2,0,3,0,1,0,1,0
Marketing,Acoustics Specialist,"Python, Team Leadership, SQL",3.93042065815363,1,0,3,1,2,0,0,1,1,3,1,1,3,1
Computer Science,Interior Designer,"Creativity, Research, Team Leadership",3.272845118630083,6,2,1,0,0,0,3,0,0,2,0,3,4,1
Chemistry,Actuary,"Python, Time Management, Creativity",3.9425094947134918,9,1,2,0,2,1,3,1,2,0,0,2,3,1
Chemistry,Dentist,"Communication, Critical Thinking, Data Analysis",4.565848763989988,9,2,1,1,5,1,0,3,1,2,1,0,1,1
Music,Music Therapist,"Communication, Python, Data Analysis",3.45206242822771,6,2,4,1,3,0,2,1,3,4,4,3,4,0
Business,Landscape Architect,"Critical Thinking, Data Analysis, Time Management",3.9156942609742016,2,0,0,0,7,1,0,2,1,3,0,2,2,0
Psychology,Biomedical Engineer,"SQL, Data Analysis, Critical Thinking",3.4713398553946284,9,0,3,1,0,1,4,0,0,3,3,2,0,1
Marketing,Legal Secretary,"Problem Solving, Creativity, Team Leadership",4.36795643229726,7,1,3,1,4,0,1,3,4,1,4,1,1,1
Architecture,Chemical Engineer,"Python, Team Leadership, Research",2.8955479403269972,8,2,2,1,0,1,4,1,3,4,3,1,4,1
Physics,Astronomer,"Data Analysis, Critical Thinking, Communication",4.308895919099701,2,0,1,0,1,0,3,2,4,2,3,1,3,1
Chemistry,Organic Chemist,"Time Management, Research, Data Analysis",4.0833618625398245,7,0,1,1,5,1,4,1,3,4,1,4,0,1
Computer Science,Animator,"Communication, Creativity, Critical Thinking",4.5135941977259755,8,2,1,0,5,1,3,1,0,0,4,0,4,0
Engineering,Zoologist,"Communication, SQL, Time Management",2.966120105564698,3,1,3,0,8,1,1,2,3,0,3,1,1,1
Engineering,Biomedical Engineer,"SQL, Team Leadership, Python",3.409148680327732,6,2,3,0,7,0,1,2,2,2,0,0,1,0
Marketing,Music Teacher,"Communication, Time Management, Team Leadership",4.079120339560614,5,1,3,0,5,0,0,0,0,0,4,0,2,0
Medicine,Nurse,"Data Analysis, SQL, Time Management",4.880409785984379,3,0,1,1,4,0,1,4,3,1,3,2,4,1
Engineering,Legal Consultant,"Python, Critical Thinking, Data Analysis",4.072392548064631,8,1,3,0,2,0,4,0,4,4,4,4,3,1
Marketing,Curriculum Developer,"Time Management, Creativity, Data Analysis",2.884064393203676,4,1,2,0,8,0,2,1,2,0,1,2,3,1
Music,Civil Engineer,"Communication, Data Analysis, Problem Solving",3.1479830280031185,8,1,3,1,1,1,3,1,0,0,0,1,1,0
Architecture,Software Developer,"Team Leadership, Problem Solving, SQL",4.450911168580807,8,0,2,1,6,1,1,2,1,2,3,0,0,1
Finance,Biochemist,"Critical Thinking, Time Management, Data Analysis",4.804682988310068,1,2,4,0,6,0,4,1,2,2,3,2,0,1
Business,Software Developer,"Creativity, Python, Problem Solving",4.003754338502018,8,2,1,0,6,1,0,4,4,0,2,3,2,1
Business,Web Developer,"Research, Communication, Critical Thinking",4.570196678252482,5,1,1,1,1,0,2,2,0,1,0,3,4,1
Biology,Architect,"Creativity, Python, Communication",3.1387198663822367,2,0,2,0,1,1,1,4,1,3,3,0,0,1
Finance,Construction Manager,"Research, SQL, Critical Thinking",4.414580737184015,9,1,2,1,2,1,0,1,0,1,0,4,3,0
Marketing,Graphic Designer,"Communication, Data Analysis, SQL",2.721829040517122,3,1,2,1,6,0,4,2,0,0,4,2,4,1
Business,Risk Analyst,"SQL, Creativity, Research",4.98173947780012,3,1,2,1,5,1,3,2,0,0,4,4,3,0
Architecture,Music Therapist,"Time Management, Data Analysis, Problem Solving",2.896821226895141,7,2,0,1,1,1,3,1,2,1,0,2,0,1
Art,Biomedical Engineer,"Team Leadership, Data Analysis, Python",3.322279400547208,1,0,4,0,5,1,4,2,3,2,0,1,4,1
Architecture,Zoologist,"Communication, Team Leadership, SQL",3.720865401745997,4,1,3,1,2,0,0,1,1,3,2,2,2,1
Business,Investment Banker,"Communication, Data Analysis, Creativity",3.6561341126359714,3,0,4,0,1,1,0,0,4,2,1,3,3,0
Biology,Game Developer,"Data Analysis, Team Leadership, Communication",4.680543589762815,1,0,4,0,4,0,4,1,3,4,1,2,3,0
Finance,Construction Manager,"Research, Time Management, Creativity",3.5406792476043205,2,2,4,1,5,0,1,3,3,2,2,1,3,0
Marketing,Analytical Chemist,"Research, Communication, Time Management",3.851035641318067,4,1,3,0,9,1,1,0,3,1,2,2,4,0
Education,School Psychologist,"Communication, Data Analysis, Python",3.690179762543067,7,2,2,1,9,1,0,3,2,3,1,4,2,1
Engineering,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",2.9042761114702436,4,1,3,0,9,0,0,4,3,0,0,2,4,0
Music,Inorganic Chemist,"Team Leadership, Critical Thinking, Time Management",3.5715372051038616,5,1,0,0,6,1,4,4,4,0,2,1,4,0
Art,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",2.804905802367072,2,2,3,0,2,0,1,1,2,1,2,0,4,0
Medicine,Music Therapist,"Team Leadership, Creativity, Data Analysis",3.353321389356216,0,1,3,0,7,1,0,0,3,3,4,1,4,1
Business,Data Scientist,"Time Management, Critical Thinking, Research",3.1087497166784455,6,0,1,1,7,1,4,4,1,4,1,4,0,0
Architecture,Accountant,"Critical Thinking, Problem Solving, Communication",4.118273725440004,7,1,3,1,9,0,2,0,0,1,0,2,2,0
Psychology,Special Education Teacher,"Team Leadership, Critical Thinking, Python",4.963985951202176,0,1,2,0,9,0,4,4,1,4,1,1,1,0
Chemistry,Pharmacist,"Communication, Python, Data Analysis",4.80465554005941,2,0,2,1,6,0,1,0,1,4,1,2,1,0
Finance,Financial Analyst,"Creativity, Data Analysis, Time Management",2.700773559372515,5,0,3,1,8,1,2,3,1,3,2,3,2,1
Marketing,Principal,"Creativity, Time Management, Team Leadership",3.1410770620679367,9,1,2,1,5,0,3,4,3,2,0,4,4,0
Psychology,Digital Marketing Specialist,"Python, Time Management, Critical Thinking",4.97981233718659,1,0,3,0,5,1,3,1,1,0,0,2,0,1
Medicine,Fluid Mechanics Engineer,"Communication, Data Analysis, Time Management",4.031539630293674,9,0,3,1,7,1,0,0,1,1,1,1,2,0
Medicine,Advertising Manager,"Time Management, Team Leadership, Data Analysis",2.9536008704304835,9,0,0,1,6,1,1,3,0,3,1,0,0,1
Medicine,Aerospace Engineer,"Research, Data Analysis, Communication",4.288515704810253,7,1,0,1,3,0,0,1,3,4,1,0,3,1
Finance,Mechanical Engineer,"Problem Solving, Critical Thinking, SQL",3.3274408007378207,5,0,0,1,3,0,2,0,4,1,4,2,3,1
Education,Inorganic Chemist,"Communication, Time Management, Critical Thinking",4.434419461952392,5,1,2,0,9,1,3,1,0,3,3,3,0,1
Finance,Software Developer,"Creativity, Data Analysis, Team Leadership",4.489898353129243,5,0,2,0,5,1,4,1,0,0,1,4,3,1
Chemistry,Industrial-Organizational Psychologist,"Python, Problem Solving, Communication",3.0988284639475596,9,0,1,1,4,1,2,0,1,1,3,0,4,0
Engineering,Actuary,"Communication, Time Management, Python",3.148532439341283,0,1,1,1,3,0,4,4,3,1,3,1,4,0
Psychology,Manager,"Leadership, Project Management, Strategic Planning",4.946497618234126,3,1,3,1,1,1,1,0,0,1,2,4,3,0
Law,Risk Analyst,"Creativity, Team Leadership, SQL",2.9421142615691473,8,2,4,1,4,0,0,4,3,3,2,0,3,0
Computer Science,Construction Manager,"Data Analysis, Critical Thinking, Communication",3.568052007762488,5,1,1,1,4,0,1,4,3,3,4,4,3,1
Psychology,Biologist,"Communication, Time Management, Creativity",4.8419642332465225,6,2,1,1,0,0,4,4,3,1,0,0,2,1
Chemistry,Legal Consultant,"Time Management, Creativity, SQL",4.784433016197197,0,2,4,0,1,1,4,2,4,0,1,0,4,1
Music,Cybersecurity Analyst,"Python, Communication, Data Analysis",4.844691084959512,4,2,1,0,5,1,4,2,2,3,0,0,0,1
Business,Psychologist,"Team Leadership, Research, Time Management",2.7366523722458016,2,2,0,0,3,0,1,0,3,4,1,3,1,1
Law,Conductor,"Creativity, Time Management, Critical Thinking",2.8572916874039227,9,1,1,1,8,1,3,3,0,4,1,2,2,1
Finance,Musician,"SQL, Problem Solving, Research",2.8318927223434582,2,0,0,0,0,1,1,2,4,0,0,1,0,0
Medicine,Quantum Physicist,"Communication, Python, Data Analysis",2.9225676227611146,9,1,1,0,5,1,1,1,3,3,0,1,0,0
Art,Composer,"Python, Time Management, Team Leadership",4.329947854487081,7,1,0,0,5,1,4,4,4,4,4,4,3,1
Computer Science,Urban Planner,"GIS, Urban Design, Zoning Laws",4.270302172612565,4,2,2,1,8,0,1,1,4,3,4,0,3,1
Marketing,Web Developer,"Critical Thinking, Data Analysis, Problem Solving",3.9217470824320095,0,2,3,1,7,1,4,3,2,2,3,1,3,0
Marketing,Civil Engineer,"Problem Solving, Data Analysis, Creativity",4.773169897618123,4,0,2,0,5,0,2,2,1,1,4,0,3,1
Music,Biochemist,"Research, Communication, Team Leadership",2.7285586255257464,9,1,0,0,3,1,4,2,3,1,4,4,3,0
Chemistry,Dentist,"Research, Critical Thinking, Data Analysis",4.2270902307055955,9,2,3,0,6,0,2,1,3,0,3,4,2,0
Engineering,Special Education Teacher,"Creativity, Critical Thinking, Communication",4.324391677289254,5,0,2,0,1,1,1,0,0,2,0,3,2,1
Biology,Organic Chemist,"Creativity, Research, SQL",2.8442277221353844,5,2,2,0,0,0,2,3,0,0,1,4,0,0
Education,Digital Marketing Specialist,"SQL, Python, Problem Solving",4.860005103276796,3,0,1,0,5,0,2,4,4,2,0,3,0,0
Finance,Legal Consultant,"Communication, SQL, Data Analysis",4.232418287013929,8,1,2,0,0,0,2,2,2,3,2,3,2,1
Computer Science,Pharmacist,"Critical Thinking, Problem Solving, Time Management",2.5700339640533634,1,0,3,1,1,0,0,0,3,0,2,2,2,0
Medicine,Special Education Teacher,"Creativity, SQL, Critical Thinking",3.1403263020407377,3,1,4,1,5,1,4,2,0,2,3,2,4,1
Psychology,Biotechnologist,"Research, Communication, Python",2.6804769950926723,3,2,0,1,4,0,0,0,0,1,0,3,2,0
Architecture,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",4.910965462374742,6,0,3,1,2,1,2,1,3,3,0,1,2,0
Biology,Physical Chemist,"SQL, Communication, Creativity",2.9004710121277184,0,0,2,0,9,1,0,0,4,3,3,4,0,0
Biology,Brand Manager,"Critical Thinking, Team Leadership, SQL",3.367809440810041,7,2,3,0,6,0,1,0,3,4,3,4,0,0
Architecture,Inorganic Chemist,"Creativity, Time Management, Critical Thinking",4.211817026159037,8,0,0,0,6,0,0,2,1,4,4,3,0,1
Chemistry,Legal Consultant,"Team Leadership, Creativity, Time Management",2.710316957673639,7,1,0,0,9,1,1,4,2,2,4,1,1,0
Psychology,Forensic Psychologist,"Problem Solving, Research, Data Analysis",4.813356405229975,6,0,2,1,0,1,0,4,2,3,2,3,3,0
Medicine,Physical Chemist,"Research, Problem Solving, Creativity",3.2210095901722107,2,1,2,1,8,0,3,2,0,0,0,0,3,0
Law,Legal Analyst,"Problem Solving, Communication, Data Analysis",3.458602337458382,5,1,3,0,2,1,2,1,2,4,2,4,0,0
Biology,Illustrator,"Problem Solving, Communication, SQL",2.587772190845789,6,0,0,1,9,1,0,1,3,3,2,3,0,0
Biology,Legal Analyst,"Critical Thinking, Problem Solving, Python",3.5177457779973405,3,1,2,1,8,0,4,3,3,3,1,3,4,1
Art,Landscape Architect,"SQL, Time Management, Problem Solving",4.474534296871223,5,1,2,1,3,1,2,3,2,0,0,3,2,0
Computer Science,Electrical Engineer,"Creativity, Communication, Critical Thinking",3.246009415877806,8,0,1,0,7,0,1,4,0,4,3,0,0,0
Physics,Ecologist,"Team Leadership, Data Analysis, Problem Solving",4.866727517831674,1,1,3,0,4,0,1,3,1,3,3,3,3,0
Medicine,Investment Banker,"Critical Thinking, Creativity, Time Management",3.6566421584638764,8,2,2,0,0,0,0,1,2,1,4,1,4,0
Music,Legal Secretary,"Time Management, Team Leadership, Creativity",4.233320187856757,1,0,3,0,4,1,4,3,0,0,0,3,3,0
Biology,Digital Marketing Specialist,"SQL, Time Management, Research",2.5750569415538203,4,2,3,0,5,0,2,3,3,3,4,2,3,0
Marketing,Market Research Analyst,"Critical Thinking, Python, Team Leadership",4.667307110789476,4,2,2,0,8,0,3,1,3,3,1,3,1,1
Chemistry,Data Scientist,"Python, Time Management, Research",4.208145911143043,8,2,4,1,0,0,3,1,3,3,2,4,0,1
Chemistry,Cybersecurity Analyst,"Research, Critical Thinking, Communication",4.913237023860994,5,1,3,0,7,0,0,4,3,3,4,4,4,1
Physics,Marketing Manager,"SQL, Data Analysis, Communication",4.974768783245132,4,2,4,1,4,0,0,3,3,0,4,3,3,0
Engineering,Marketing Specialist,"Python, Problem Solving, Team Leadership",4.999330581432263,7,1,4,1,7,1,1,2,4,1,4,4,4,1
Biology,Architectural Technologist,"SQL, Data Analysis, Team Leadership",4.327125619257021,1,2,1,0,9,0,0,0,0,3,0,0,4,1
Psychology,Cybersecurity Analyst,"Time Management, Research, Communication",3.947128679720315,9,0,4,1,9,1,0,0,0,3,4,3,2,0
Chemistry,Nurse,"Time Management, Data Analysis, Team Leadership",3.808824007043836,4,1,3,1,1,1,3,0,1,3,1,3,4,0
Finance,Legal Secretary,"SQL, Problem Solving, Team Leadership",3.2661935112806586,8,0,2,0,1,1,2,2,4,0,0,2,2,0
Medicine,Electrical Engineer,"Research, Data Analysis, Communication",4.535038582814483,5,0,3,1,6,1,4,3,4,0,1,1,3,0
Medicine,Credit Analyst,"Data Analysis, Time Management, Communication",4.059626368366994,0,0,4,1,7,0,3,0,2,1,2,0,2,0
Art,Nurse,"Communication, Python, Problem Solving",3.161821736340002,8,1,2,1,7,1,2,1,3,3,2,0,0,0
Physics,Physician Assistant,"Problem Solving, Creativity, Critical Thinking",4.893662289514454,1,2,4,0,9,0,0,2,1,0,3,3,2,1
Art,Analytical Chemist,"Research, Problem Solving, Communication",3.665565635571012,4,1,0,1,9,0,1,1,1,4,3,0,4,0
Law,Inorganic Chemist,"Time Management, Python, Research",3.508612031722521,4,2,4,0,4,1,3,2,1,3,3,1,4,0
Psychology,Urban Planner,"GIS, Urban Design, Zoning Laws",4.066659819095489,5,1,4,0,8,1,3,1,2,4,4,0,1,1
Marketing,Industrial-Organizational Psychologist,"Critical Thinking, Communication, SQL",2.7663130583164137,0,2,4,0,5,0,0,3,0,0,3,1,1,1
Art,Doctor,"Python, Time Management, Communication",3.476694363201802,4,0,2,0,6,1,3,4,4,4,4,2,0,0
Psychology,Physicist,"Time Management, Python, Data Analysis",2.8888746942900165,7,2,3,0,9,1,1,2,4,3,4,2,4,1
